抓取時間,新聞標題,AI 情緒標籤,AI 信心度,當前股價,今日漲跌%,內文摘要,當時股價
2026-02-26 08:34,《台北股市》AI助攻 世界、創意權證旺,Positive,0.9997,2015.0,2.54,《台北股市》AI助攻 世界、創意權證旺 時報資訊 2026年2月26日 週四 上午8:18 【時報-...,
2026-02-26 08:34,《研究報告》台股登35K 公股銀看好多頭續航,Positive,0.9994,2015.0,2.54,《研究報告》台股登35K 公股銀看好多頭續航 時報資訊 2026年2月26日 週四 上午8:15 【...,
2026-02-26 08:34,《基金》指數飆35K 台股基金樂透,Positive,0.9987,2015.0,2.54,《基金》指數飆35K 台股基金樂透 時報資訊 2026年2月26日 週四 上午8:15 【時報-台北...,
2026-02-26 08:34,《台北股市》19檔金馬年法人愛,Positive,0.9986,2015.0,2.54,《台北股市》19檔金馬年法人愛 時報資訊 2026年2月26日 週四 上午8:14 穩懋 3105....,
2026-02-26 08:34,《盤前掃瞄-國內消息》台股榮登35K；大摩降評群聯,Positive,0.9951,2015.0,2.54,《盤前掃瞄-國內消息》台股榮登35K；大摩降評群聯 時報資訊 2026年2月26日 週四 上午8:0...,
2026-02-26 08:34,《盤前掃瞄-基本面》同欣電三引擎熱轉；川湖今、明年好光景,Positive,0.9983,2015.0,2.54,《盤前掃瞄-基本面》同欣電三引擎熱轉；川湖今、明年好光景 時報資訊 2026年2月26日 週四 上午...,
2026-02-26 08:37,【盤前焦點】輝達財報亮眼　投顧：台股技術面續強提防短線波動,Positive,0.9982,,2.54,【盤前焦點】輝達財報亮眼 投顧：台股技術面續強提防短線波動 中央社 2026年2月26日 週四 上午...,2015.0
2026-02-26 08:37,《半導體》聯發科竄起 市值挑戰3兆,Positive,0.999,,2.54,《半導體》聯發科竄起 市值挑戰3兆 時報資訊 2026年2月26日 週四 上午7:59 聯發科 24...,2015.0
2026-02-26 08:37,三星發表Galaxy S26旗艦手機，台版首次支援eSIM，供應鏈台積電等將受惠,Positive,0.9976,,2.54,三星發表Galaxy S26旗艦手機，台版首次支援eSIM，供應鏈台積電等將受惠 財訊快報 2026...,2015.0
2026-03-05 01:06,傳伊朗有意停火！美股道瓊開高翻黑震盪、那斯達克漲百點　台積電ADR漲1.1%,Positive,0.9738,,-3.62,傳伊朗有意停火！美股道瓊開高翻黑震盪、那斯達克漲百點 台積電ADR漲1.1% FTNN新聞網 202...,1865.0
2026-03-05 01:06,金融重災區！外資狠倒這檔8.1萬張賣最兇　台積電近5日失血1759億、鴻海也重傷,Negative,0.9219,,-3.62,金融重災區！外資狠倒這檔8.1萬張賣最兇 台積電近5日失血1759億、鴻海也重傷 FTNN新聞網 2...,1865.0
2026-03-05 01:06,輝達、聯發科押注光學技術 AI資料中心基礎設施迎變革,Positive,0.9985,,-3.62,輝達、聯發科押注光學技術 AI資料中心基礎設施迎變革 service@sunmedia.tw (商傳...,1865.0
2026-03-05 01:06,外資史上第三大賣超964億元 鴻海、台積電成提款機 回補3檔記憶體股,Positive,0.9714,,-3.62,外資史上第三大賣超964億元 鴻海、台積電成提款機 回補3檔記憶體股 鉅亨網記者魏志豪 台北 202...,1865.0
2026-03-05 01:06,AI、台積電領軍，美投資者持有台灣股票創新高達 6680 億美元,Positive,0.9985,,-3.62,AI、台積電領軍，美投資者持有台灣股票創新高達 6680 億美元 service@sunmedia....,1865.0
2026-03-05 07:17,《半導體》盛群5月25日股東會,Positive,0.9862,,1.88,《半導體》盛群5月25日股東會 時報資訊 2026年3月4日 週三 下午10:55 【時報-台北電】...,1900.0
2026-03-05 07:17,〈台股盤後〉史上第五大漲點844點留長上影線  台積電重返1900元,Positive,0.9919,,1.88,〈台股盤後〉史上第五大漲點844點留長上影線 台積電重返1900元 鉅亨網記者張欽發 台北 2026...,1900.0
2026-03-05 07:17,輝達傳將台積電部分H200產能轉向新晶片Vera Rubin,Positive,0.9449,,1.88,輝達傳將台積電部分H200產能轉向新晶片Vera Rubin 財訊快報 2026年3月4日 週三 下...,1900.0
